Organization,Country,Publications,Citations,Altmetric
Erasmus University Rotterdam,Netherlands,12,159,321
Federal University of Sao Paulo,Brazil,12,60,236
Inserm,France,12,100,447
International Hellenic University,Greece,12,43,6
Kaunas University of Technology,Lithuania,12,38,38
Lucian Blaga University of Sibiu,Romania,12,27,1
National Cheng Kung University,Taiwan,12,53,7
Norwegian Institute of Public Health,Norway,12,183,1286
Queen Mary University of London,United Kingdom,12,55,233
Rigshospitalet,Denmark,12,48,763
Sahlgrenska University Hospital,Brazil,12,41,258
Shahid Beheshti University of Medical Sciences,Iran,12,155,18
Sidi Mohamed Ben Abdellah University,Morocco,12,59,2
Suez Canal University,Egypt,12,235,652
Technical University of Munich,Germany,12,200,459
Universidad César Vallejo,Peru,12,34,3
Université Laval,Canada,12,70,214
Universiti Malaysia Kelantan,Malaysia,12,72,2
Universiti Malaysia Pahang,Malaysia,12,75,27
Universiti of Malaysia Sabah,Malaysia,12,70,5
University Hospital of Bern,Switzerland,12,77,69
University of Bahrain,Bahrain,12,94,2
"University of California, Berkeley",United States,12,219,708
University of East Anglia,United Kingdom,12,197,2300
University of Eastern Finland,Finland,12,130,53
University of Georgia,United States,12,26,324
University of Ioannina,Greece,12,42,64
University of Montreal,Canada,12,69,99
University of Portsmouth,United Kingdom,12,188,6
University of Sousse,Uruguay,12,181,4
University of Strathclyde,United Kingdom,12,105,163
University of Twente,Netherlands,12,112,50
University of Utah,United States,12,91,118
University of Waikato,New Zealand,12,55,27
"Vietnam National University, Hanoi",Vietnam,12,65,6
Washington University in St. Louis,United States,12,284,2128
Weizmann Institute of Science,Israel,12,339,541
An-Najah National University,Palestine,11,96,7
Binus University,Indonesia,11,9,
BRAC University,Bangladesh,11,46,27
Cape Peninsula University of Technology,South Africa,11,26,95
Catholic University of the Sacred Heart,Italy,11,362,110
City University of Hong Kong,Hong Kong,11,392,647
Democritus University of Thrace,Greece,11,118,8
Dow University of Health Sciences,Pakistan,11,50,132
European University Cyprus,Cyprus,11,48,47
Fudan University,China,11,545,3735
Jilin University,China,11,32,66
Khon Kaen University,Thailand,11,25,8
Lappeenranta University of Technology,Finland,11,128,115
Ludwig-Maximilians-UniversitÃ¤t MÃ¼nchen,Germany,11,141,360
Manchester Metropolitan University,United Kingdom,11,135,79
Mapúa University,Philippines,11,90,
Michigan State University,United States,11,76,473
Muhammadiyah University of Yogyakarta,Indonesia,11,2,
Najran University,Saudi Arabia,11,89,34
